Track URI,Track Name,Artist URI(s),Artist Name(s),Album URI,Album Name,Album Artist URI(s),Album Artist Name(s),Album Release Date,Album Image URL,Disc Number,Track Number,Track Duration (ms),Track Preview URL,Explicit,Popularity,ISRC
spotify:track:3WGJSY8JaGliVIJyMig5aS,1999,"spotify:artist:25uiPmTg16RbhZWAqwLBy5, spotify:artist:3WGpXCj9YhhfX11TToZcXP","Charli xcx, Troye Sivan",spotify:album:386IqvSuljaZsMjwDGGdLj,Charli,spotify:artist:25uiPmTg16RbhZWAqwLBy5,Charli xcx,9/13/2019,https://i.scdn.co/image/ab67616d0000b2737e9409735ed90d9ee4bdaf18,1,4,189200,https://p.scdn.co/mp3-preview/1a98b881f59c8857db365b004c5c34e9edfe8b56?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,62,GBAHS1800662
spotify:track:55MIRLbZzpYSmMlRt9ZDWM,30/90,"spotify:artist:2garjIdgTW5i89s4Z3UT72, spotify:artist:2WHbNs4WT5ZN7rbjDqbyEE, spotify:artist:6G9bygHlCyPgNGxK2l3YdE, spotify:artist:6mXcTwoata1hkaDMbkzw32, spotify:artist:6RKS67sIPOW16NcGWkgdzF, spotify:artist:5jMxsWwmiQl6lRo01xHMmG","Andrew Garfield, Joshua Henry, Vanessa Hudgens, Robin de Jesus, Alexandra Shipp, MJ Rodriguez",spotify:album:4d1XaejoQ5r4jdkV8k5SNJ,"tick, tick... BOOM! (Soundtrack from the Netflix Film)",spotify:artist:5lveWTbqXuBYfwswNPsGWL,"The Cast of Netflix's Film tick\, tick... BOOM!",11/12/2021,https://i.scdn.co/image/ab67616d0000b27321b999d57c62a5f362633a48,1,1,262505,https://p.scdn.co/mp3-preview/5b1370fd8bf542756f4feeffa87e98a72bbeab8f?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,62,QZ8BZ2100734
spotify:track:374EllG6WyKdKvklfanNZT,ay! (feat. Lil Wayne),"spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:55Aa2cqylxrFIXC767Z865","mgk, Lil Wayne",spotify:album:1e9CbSWMgie8riYCSvqNs3,ay! (feat. Lil Wayne),"spotify:artist:6TIYQ3jFPwQSRmorSezPxX, spotify:artist:55Aa2cqylxrFIXC767Z865","mgk, Lil Wayne",3/4/2022,https://i.scdn.co/image/ab67616d0000b2734f1c407f8c5b9c72bbac4c54,1,1,124188,https://p.scdn.co/mp3-preview/56a6e78264b5832fccf507b298b9f3fd68cef1fc?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,0,USUM72201502
spotify:track:4pDj6rJPTd6RIbrLiCL5Zg,We Are One (Ole Ola) [The Official 2014 FIFA World Cup Song] (feat. Jennifer Lopez & Claudia Leitte) - Olodum Mix,"spotify:artist:0TnOYISbd1XYRBk9myaseg, spotify:artist:2DlGxzQSjYe5N6G9nkYghR, spotify:artist:2OjoIDVPQKT9B7loZbPEfp","Pitbull, Jennifer Lopez, Claudia Leitte",spotify:album:5htwZrf4lCiZ6GTj9Z0CMo,"The 2014 FIFA World Cup Official Album: One Love, One Rhythm",spotify:artist:0LyfQWJT6nXafLPZqxe9Of,Various Artists,5/9/2014,https://i.scdn.co/image/ab67616d0000b273625fe347d8e5565382d26c62,1,16,238680,https://p.scdn.co/mp3-preview/78ceb17428a786f4df458aee7c2a69a81c7ffeef?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,36,USRC11400628
spotify:track:3TGRqZ0a2l1LRblBkJoaDx,Call Me Maybe,spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,spotify:album:29blfJv8AddJrjuG3DpE13,Kiss (Deluxe),spotify:artist:6sFIWsNpZYqfjUpaCgueju,Carly Rae Jepsen,1/1/2012,https://i.scdn.co/image/ab67616d0000b273a111f7769013f1731e9c697c,1,3,193400,https://p.scdn.co/mp3-preview/c4a7b5e8b012344e607dc50991a32b4a00326739?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,76,CAB391100615
spotify:track:5efvxYn0J1q8iuIZBqpDD7,Lowlife,spotify:artist:5mlbvTfWUOfDrUIK6dkNzv,Poppy,spotify:album:1LXJcgThDI0rAJRBkRk07s,Bubblebath,spotify:artist:5mlbvTfWUOfDrUIK6dkNzv,Poppy,6/10/2016,https://i.scdn.co/image/ab67616d0000b2737e648f95f0e0495694309569,1,1,205693,https://p.scdn.co/mp3-preview/c6ab10a9bb4e2ba04078253102437455c80caaa8?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,56,USUM71506564
spotify:track:5fp6m6Zo4LetiWaMMrPjy5,Dreamscape,spotify:artist:0BjppA384A5QT9kRKCJOyb,009 Sound System,spotify:album:5W3etTwlyw2ykgwk5sW8K3,009 Sound System,spotify:artist:0BjppA384A5QT9kRKCJOyb,009 Sound System,2010,https://i.scdn.co/image/ab67616d0000b2736298dc3c772f72e70e73d4e8,1,1,277489,https://p.scdn.co/mp3-preview/6d02c8a91a463e3d0cbd1cb472524d81c53444a2?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,53,USTCC0917255
spotify:track:0fABszUFNbNq9IW503Gj8v,Tá OK,"spotify:artist:6xlRSRMLgZbsSNd0BMobwy, spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ","DENNIS, MC Kevin o Chris",spotify:album:41iAYv4hU3BL86F0sOTvqp,Tá OK,"spotify:artist:6xlRSRMLgZbsSNd0BMobwy, spotify:artist:2UMj7NCbuqy1yUZmiSYGjJ","DENNIS, MC Kevin o Chris",5/4/2023,https://i.scdn.co/image/ab67616d0000b2736b19d46024e623f257363a36,1,1,92093,https://p.scdn.co/mp3-preview/53d83121788d1a98041d868e1a2e44aa57e4d38c?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,71,BRSME2300692
spotify:track:5lEsM6qpuzuZwij6jIZPvP,Big Time Rush,spotify:artist:0GWCNkPi54upO9WLlwjAHd,Big Time Rush,spotify:album:2RjFzASjHZG1lUbCKqUahx,BTR,spotify:artist:0GWCNkPi54upO9WLlwjAHd,Big Time Rush,10/11/2010,https://i.scdn.co/image/ab67616d0000b27350acd1f66ebd5b84630c7129,1,11,197586,https://p.scdn.co/mp3-preview/0c9aad06203dd90c66c9651f259c9bad901bcb18?cid=9950ac751e34487dbbe027c4fd7f8e99,FALSE,56,USSM10906314
spotify:track:5Xkht48NOI9eirHjY7d87I,Daddy's Gone,spotify:artist:478peoEkoKPsTgRiVzkvPl,Glasvegas,spotify:album:2MLOTcKvTfrJHhEeRb164i,Glasvegas,spotify:artist:478peoEkoKPsTgRiVzkvPl,Glasvegas,9/5/2008,https://i.scdn.co/image/ab67616d0000b2733ea4aded38ae4e2c6d04aece,1,7,262360,https://p.scdn.co/mp3-preview/05583b30f6e5c597827c6176e0d785d5d17060c8?cid=9950ac751e34487dbbe027c4fd7f8e99,TRUE,0,GBARL0800765
